id,node_type
7,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
17,trailer UP
37,suite UP
10,NEWLINE DOWN
19,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME DOWN
16,COMMA UP
18,trailer DOWN
36,NEWLINE UP
44,DEF UP
14,COMMA DOWN
46,stmt|compound_stmt|funcdef DOWN
42,INDENT UP
2,parameters UP
5,CLOSE_PAREN DOWN
9,stmt|simple_stmt DOWN
38,suite DOWN
1,OPEN_PAREN UP
8,stmt|simple_stmt UP
24,OPEN_PAREN DOWN
15,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
22,and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
43,DEDENT DOWN
25,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr UP
11,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|NAME UP
32,OR UP
47,NAME DOWN
34,small_stmt|flow_stmt|return_stmt UP
29,testlist|test|or_test UP
33,RETURN UP
4,typedargslist|tfpdef|NAME DOWN
13,arglist DOWN
49,NAME UP
50,COLON UP
26,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
21,atom|NAME UP
28,atom|NAME DOWN
48,COLON DOWN
27,CLOSE_PAREN UP
35,small_stmt|flow_stmt|return_stmt DOWN
39,INDENT DOWN
45,stmt|compound_stmt|funcdef UP
3,parameters DOWN
31,OR DOWN
20,argument|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING UP
23,and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr DOWN
12,arglist UP
40,small_stmt|expr_stmt|testlist_star_expr|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term|factor|power|atom_expr|atom|STRING DOWN
30,testlist|test|or_test DOWN
41,RETURN DOWN
6,typedargslist|tfpdef|NAME UP
