id,path
106,27 2 45 46 38 39
47,16 12 17 22 29 30 31
7,16 12 13 15
62,32 29 30 23 18 13 14
63,32 29 30 23 18 13 15
64,20 12 17 22 29 30 23 18 13 26 28
19,21 22 23 18 5
58,27 17 22 29 30 23 18 13 14
40,20 12 17 25 12 17 18 5
39,16 12 17 25 12 17 18 5
100,6 2 45 46 48
15,21 22 23 18 24
112,50 45 46 38 9 10
36,1 17 18 13 26 18 13 19
105,27 2 45 46 38 10
96,49 45 46 38 10
98,1 2 45 46 38 10
38,1 17 18 13 26 18 13 15
37,1 17 18 13 26 18 13 14
61,32 29 30 23 18 13 19
43,21 22 23 18 13 26 18 24
111,50 45 46 38 9 40
53,20 12 17 22 29 30 23 18 13 19
67,33 34 35 30 23 28
97,1 2 45 46 48
102,6 2 45 46 38 39
45,11 12 17 22 29 30 31
68,33 34 35 30 23 18 24
5,11 12 13 14
4,7 8 9 10
28,16 12 17 25 12 13 14
29,16 12 17 25 12 13 15
52,20 12 17 22 29 30 23 18 24
101,6 2 45 46 38 10
6,11 12 13 15
60,32 29 30 23 18 24
92,49 45 46 3 24
108,27 2 45 46 38 9 10
109,50 45 46 38 10
79,42 37 38 9 10
82,7 8 37 38 9 35 41
49,16 12 17 22 29 30 23 18 24
72,27 17 22 29 34 8 9 10
9,1 17 18 13 14
10,1 17 18 13 15
8,1 17 18 13 19
93,49 45 46 3 4
94,49 45 46 3 5
33,27 17 25 12 13 15
103,6 2 45 46 38 9 40
110,50 45 46 38 39
95,49 45 46 48
81,42 37 38 9 35 30 23 28
32,27 17 25 12 13 14
78,42 37 38 9 40
48,16 12 17 22 29 30 23 28
59,32 29 30 23 28
75,36 37 38 9 10
51,20 12 17 22 29 30 23 28
3,6 2 3 5
46,11 12 17 22 29 30 23 28
65,27 17 22 29 30 23 18 13 26 28
50,20 12 17 22 29 30 31
104,27 2 45 46 48
22,21 25 26 18 13 14
23,21 25 26 18 13 15
88,44 45 46 3 24
26,11 12 17 25 12 13 14
73,36 37 38 39
27,11 12 17 25 12 13 15
24,21 25 26 18 5
87,44 45 46 47
56,27 17 22 29 30 23 18 24
74,36 37 38 9 40
91,44 45 46 48
42,21 22 23 18 13 26 28
44,1 17 22 29 30 31
54,27 17 22 29 30 31
71,33 34 35 30 23 18 13 15
20,21 25 26 18 24
70,33 34 35 30 23 18 13 14
69,33 34 35 30 23 18 13 19
90,44 45 46 3 5
35,1 17 18 13 26 18 24
13,16 12 17 18 5
89,44 45 46 3 4
34,1 17 18 13 26 28
31,20 12 17 25 12 13 15
107,27 2 45 46 38 9 40
30,20 12 17 25 12 13 14
113,50 45 46 38 9 35 41
66,32 29 30 23 18 13 26 28
99,1 2 45 46 38 39
2,1 2 3 5
55,27 17 22 29 30 23 28
41,27 17 25 12 17 18 5
1,1 2 3 4
86,36 8 37 38 43
16,21 22 23 18 13 19
17,21 22 23 18 13 14
18,21 22 23 18 13 15
85,36 8 37 38 9 35 30 23 28
76,36 37 38 9 35 41
80,42 37 38 9 35 41
11,1 17 18 5
84,36 8 37 38 9 35 41
21,21 25 26 18 13 19
57,27 17 22 29 30 23 18 13 19
25,1 17 25 12 13 14
12,11 12 17 18 5
77,36 37 38 9 35 30 23 28
83,7 8 37 38 9 35 30 23 28
14,20 12 17 18 5
