id,node_type
2,parameters UP
14,small_stmt|flow_stmt|return_stmt UP
31,COLON DOWN
12,STAR UP
24,INDENT UP
33,CLOSE_PAREN UP
32,NAME UP
28,stmt|compound_stmt|funcdef DOWN
5,CLOSE_PAREN DOWN
18,NEWLINE DOWN
13,RETURN UP
22,INDENT DOWN
3,parameters DOWN
11,factor|power|atom_expr|atom|NAME DOWN
17,stmt|simple_stmt DOWN
6,typedargslist|tfpdef|NAME UP
29,NAME DOWN
7,factor|power|atom_expr|atom|NAME UP
25,DEDENT DOWN
30,OPEN_PAREN DOWN
21,suite DOWN
8,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term UP
10,STAR DOWN
26,DEF UP
19,NEWLINE UP
27,stmt|compound_stmt|funcdef UP
20,suite UP
16,stmt|simple_stmt UP
15,small_stmt|flow_stmt|return_stmt DOWN
34,COLON UP
9,testlist|test|or_test|and_test|not_test|comparison|expr|xor_expr|and_expr|shift_expr|arith_expr|term DOWN
4,typedargslist|tfpdef|NAME DOWN
1,OPEN_PAREN UP
23,RETURN DOWN
