id,path
22,12 8 14 16 20 21 25
19,24 20 21 17 18
6,12 8 9 11
3,6 2 3 5
45,33 2 27 28 21 17 15 9 11
23,19 16 20 21 25
27,26 27 28 3 5
26,26 27 28 3 4
24,26 27 28 29
44,33 2 27 28 21 17 15 23
28,26 27 28 31
32,32 27 28 31
47,34 27 28 21 22
15,19 20 21 17 15 9 10
14,19 20 21 17 15 9 11
8,13 14 15 9 10
7,13 14 15 9 11
16,24 20 21 17 15 23
30,32 27 28 3 4
31,32 27 28 3 5
2,1 2 3 5
10,7 8 14 16 17 18
37,6 2 27 28 31
1,1 2 3 4
4,7 8 9 10
13,19 20 21 17 15 23
12,19 20 21 22
5,7 8 9 11
41,33 2 27 28 31
43,33 2 27 28 21 22
40,6 2 27 28 21 17 15 23
50,34 27 28 21 17 15 9 10
29,32 27 28 3 30
42,33 2 27 28 21 18
46,34 27 28 21 18
49,34 27 28 21 17 15 9 11
35,1 2 27 28 21 18
36,1 2 27 28 21 22
20,13 14 16 20 21 25
18,24 20 21 17 15 9 10
39,6 2 27 28 21 22
21,7 8 14 16 20 21 25
11,12 8 14 16 17 18
38,6 2 27 28 21 18
34,1 2 27 28 31
33,32 27 28 21 18
25,26 27 28 3 30
48,34 27 28 21 17 15 23
9,13 14 16 17 18
17,24 20 21 17 15 9 11
